iter,mean_ep_rew_step,ret,loss,fwd_mean,ep_len,fall_rate,vx_mean,sps
328,0.7675,67.5122,3.8225,nan,nan,nan,nan,2.895e+05
329,0.7591,67.6839,4.3869,nan,nan,nan,nan,2.897e+05
330,0.7599,68.1478,4.6752,nan,nan,nan,nan,2.900e+05
331,0.7630,68.6340,4.8882,nan,nan,nan,nan,2.902e+05
332,0.7643,69.3322,4.3386,nan,nan,nan,nan,2.905e+05
333,0.7829,69.8186,4.9966,nan,nan,nan,nan,2.907e+05
334,1.0916,68.8636,13.0379,nan,nan,nan,nan,2.910e+05
335,1.4123,66.3077,14.4824,nan,nan,nan,nan,2.912e+05
336,0.9928,65.6926,6.8726,nan,nan,nan,nan,2.915e+05
337,0.7649,65.2819,4.3097,nan,nan,nan,nan,2.917e+05
338,0.7558,65.7691,4.0200,nan,nan,nan,nan,2.919e+05
339,0.7635,66.9394,3.7917,nan,nan,nan,nan,2.922e+05
340,0.7679,67.5792,3.6482,nan,nan,nan,nan,2.924e+05
341,0.7658,68.0917,3.8572,nan,nan,nan,nan,2.926e+05
342,0.7779,68.6906,4.2323,nan,nan,nan,nan,2.929e+05
343,0.7812,68.9751,4.3583,nan,nan,nan,nan,2.931e+05
344,0.8835,68.9656,6.9557,nan,nan,nan,nan,2.933e+05
345,1.1847,67.3831,12.9511,nan,nan,nan,nan,2.936e+05
346,1.2127,66.1632,11.1387,nan,nan,nan,nan,2.938e+05
347,0.9149,65.5817,6.3901,nan,nan,nan,nan,2.941e+05
348,0.7831,65.4360,4.7331,nan,nan,nan,nan,2.943e+05
349,0.7732,66.0303,4.5064,5.0006,326.51,1.0000,0.7659,2.946e+05
