iter,mean_ep_rew_step,ret,loss,fwd_mean,ep_len,fall_rate,vx_mean,sps
292,0.9896,61.0848,9.2721,nan,nan,nan,nan,2.706e+05
293,0.8196,61.6830,6.3908,nan,nan,nan,nan,2.710e+05
294,0.7706,62.2192,5.5063,nan,nan,nan,nan,2.713e+05
295,0.7892,62.9806,6.4855,nan,nan,nan,nan,2.716e+05
296,0.8189,63.4600,6.7960,nan,nan,nan,nan,2.719e+05
297,0.8213,64.1811,7.2065,nan,nan,nan,nan,2.722e+05
298,0.8499,64.5715,7.9408,nan,nan,nan,nan,2.725e+05
299,0.8576,64.8447,8.0281,nan,nan,nan,nan,2.728e+05
300,0.9279,65.1692,9.0276,4.9980,307.02,1.0000,0.8140,2.731e+05
301,0.8986,69.4866,1.3052,nan,nan,nan,nan,2.693e+05
302,0.8024,68.6675,3.6087,nan,nan,nan,nan,2.696e+05
303,0.7930,68.3000,5.1493,nan,nan,nan,nan,2.700e+05
304,0.7822,68.3490,6.1136,nan,nan,nan,nan,2.703e+05
305,0.7784,68.4964,7.7125,nan,nan,nan,nan,2.706e+05
306,0.8626,67.5729,12.6541,nan,nan,nan,nan,2.709e+05
307,1.5489,64.8253,19.7791,nan,nan,nan,nan,2.712e+05
308,1.0792,65.4140,8.1768,nan,nan,nan,nan,2.715e+05
309,0.7305,64.1761,5.8618,nan,nan,nan,nan,2.718e+05
310,0.7245,63.1835,6.1809,nan,nan,nan,nan,2.720e+05
311,0.7343,62.8581,8.3457,nan,nan,nan,nan,2.723e+05
312,0.7383,62.8531,9.0271,nan,nan,nan,nan,2.726e+05
313,0.7410,62.9981,9.2167,nan,nan,nan,nan,2.729e+05
314,0.7460,63.2821,10.5293,nan,nan,nan,nan,2.731e+05
315,0.7699,63.5468,10.8489,nan,nan,nan,nan,2.734e+05
316,0.9170,64.0774,12.5522,nan,nan,nan,nan,2.737e+05
317,1.1860,64.1526,12.4626,nan,nan,nan,nan,2.740e+05
318,1.0471,64.8468,7.5402,nan,nan,nan,nan,2.742e+05
319,0.8092,65.2527,4.4078,nan,nan,nan,nan,2.745e+05
320,0.7809,65.2456,4.5478,nan,nan,nan,nan,2.748e+05
321,0.7911,65.7136,4.3341,nan,nan,nan,nan,2.751e+05
322,0.8052,66.2742,5.5439,nan,nan,nan,nan,2.754e+05
323,0.8214,66.7638,6.4360,nan,nan,nan,nan,2.757e+05
324,0.8329,67.2771,7.0578,nan,nan,nan,nan,2.759e+05
325,0.8947,68.0692,7.6642,4.9979,325.91,1.0000,0.7669,2.762e+05
326,0.8915,72.3561,0.8821,nan,nan,nan,nan,2.727e+05
327,0.8216,72.0971,1.6927,nan,nan,nan,nan,2.730e+05
328,0.8180,72.0259,2.4955,nan,nan,nan,nan,2.733e+05
329,0.8122,72.0503,3.2394,nan,nan,nan,nan,2.736e+05
330,0.8071,72.2913,4.0447,nan,nan,nan,nan,2.739e+05
331,0.8085,72.6634,5.0505,nan,nan,nan,nan,2.742e+05
332,1.0933,71.5767,14.1220,nan,nan,nan,nan,2.745e+05
333,1.7134,68.0856,17.0748,nan,nan,nan,nan,2.747e+05
334,0.8146,68.7457,5.4395,nan,nan,nan,nan,2.750e+05
335,0.7381,66.9290,4.2315,nan,nan,nan,nan,2.753e+05
336,0.7619,66.6975,4.7665,nan,nan,nan,nan,2.756e+05
337,0.7701,67.0989,5.5137,nan,nan,nan,nan,2.759e+05
338,0.7760,67.6859,6.0299,nan,nan,nan,nan,2.762e+05
339,0.7821,68.7583,4.9588,nan,nan,nan,nan,2.765e+05
340,0.7939,69.4951,6.1882,nan,nan,nan,nan,2.768e+05
341,0.8912,69.4786,9.3377,nan,nan,nan,nan,2.770e+05
342,1.2432,67.6703,16.7030,nan,nan,nan,nan,2.773e+05
343,1.2222,67.2769,11.5259,nan,nan,nan,nan,2.775e+05
344,0.8898,67.2552,5.7540,nan,nan,nan,nan,2.778e+05
345,0.7847,66.9039,4.2253,nan,nan,nan,nan,2.780e+05
346,0.7927,67.4869,4.3316,nan,nan,nan,nan,2.783e+05
347,0.8041,68.2497,4.7078,nan,nan,nan,nan,2.785e+05
348,0.8158,69.1303,5.1468,nan,nan,nan,nan,2.788e+05
349,0.8196,70.1478,4.5002,nan,nan,nan,nan,2.791e+05
350,0.8479,70.8571,5.1786,5.0002,339.87,1.0000,0.7357,2.793e+05
351,0.9133,74.5040,0.8719,nan,nan,nan,nan,2.760e+05
352,0.8493,74.5338,1.4951,nan,nan,nan,nan,2.762e+05
353,0.8448,74.9678,1.7457,nan,nan,nan,nan,2.765e+05
354,0.8425,75.4526,2.3307,nan,nan,nan,nan,2.768e+05
355,0.8401,75.9401,2.4359,nan,nan,nan,nan,2.771e+05
356,0.8413,76.4776,3.2296,nan,nan,nan,nan,2.773e+05
357,0.9512,76.0118,8.6272,nan,nan,nan,nan,2.776e+05
358,1.7409,70.2314,28.1478,nan,nan,nan,nan,2.778e+05
359,1.0321,70.4192,9.3511,nan,nan,nan,nan,2.781e+05
360,0.7283,68.4089,5.9010,nan,nan,nan,nan,2.783e+05
361,0.7289,67.6450,6.2324,nan,nan,nan,nan,2.786e+05
362,0.7399,67.7254,6.7121,nan,nan,nan,nan,2.789e+05
363,0.7455,68.1376,6.2916,nan,nan,nan,nan,2.792e+05
364,0.7561,69.0924,6.2584,nan,nan,nan,nan,2.795e+05
365,0.7657,69.9957,5.8825,nan,nan,nan,nan,2.797e+05
366,0.7917,71.0005,5.0441,nan,nan,nan,nan,2.800e+05
367,0.9554,70.7810,9.9581,nan,nan,nan,nan,2.802e+05
